Provinsi,Tahun,Rata_Rata_Lama_Sekolah,Tingkat_Pengangguran_Terbuka,Persentase_Penduduk_Miskin
ACEH,2015,9.32,9.93,17.08
ACEH,2016,9.36,7.57,16.73
ACEH,2017,9.42,6.57,16.89
ACEH,2018,9.46,6.34,15.97
ACEH,2019,9.59,6.17,15.32
ACEH,2020,9.71,6.59,14.99
ACEH,2021,9.77,6.3,15.33
ACEH,2022,9.79,6.17,14.64
ACEH,2023,9.89,6.03,14.45
ACEH,2024,9.95,5.75,14.23
ACEH,2025,10.42,5.64,12.33
BALI,2015,8.8,1.99,4.74
BALI,2016,8.84,1.89,4.25
BALI,2017,8.93,1.48,4.25
BALI,2018,9.0,1.4,4.01
BALI,2019,9.19,1.57,3.79
BALI,2020,9.31,5.63,3.78
BALI,2021,9.45,5.37,4.53
BALI,2022,9.74,4.8,4.57
BALI,2023,9.74,2.69,4.25
BALI,2024,9.87,1.79,4.0
BALI,2025,10.07,1.49,3.72
BANTEN,2015,8.7,9.55,5.9
BANTEN,2016,8.79,8.92,5.42
BANTEN,2017,8.87,9.28,5.45
BANTEN,2018,8.93,8.47,5.24
BANTEN,2019,9.07,8.11,5.09
BANTEN,2020,9.22,10.64,5.92
BANTEN,2021,9.29,8.98,6.66
BANTEN,2022,9.46,8.09,6.16
BANTEN,2023,9.48,7.52,6.17
BANTEN,2024,9.55,6.68,5.84
BANTEN,2025,9.82,6.69,5.63
BENGKULU,2015,8.74,4.91,17.88
BENGKULU,2016,8.82,3.3,17.32
BENGKULU,2017,8.91,3.74,16.45
BENGKULU,2018,8.94,3.35,15.43
BENGKULU,2019,9.08,3.26,15.23
BENGKULU,2020,9.2,4.07,15.03
BENGKULU,2021,9.26,3.65,15.22
BENGKULU,2022,9.28,3.59,14.62
BENGKULU,2023,9.35,3.42,14.04
BENGKULU,2024,9.4,3.11,13.56
BENGKULU,2025,9.71,3.41,12.08
DI YOGYAKARTA,2015,9.59,4.07,14.91
DI YOGYAKARTA,2016,9.62,2.72,13.34
DI YOGYAKARTA,2017,9.68,3.02,13.02
DI YOGYAKARTA,2018,9.73,3.37,12.13
DI YOGYAKARTA,2019,9.83,3.18,11.7
DI YOGYAKARTA,2020,9.95,4.57,12.28
DI YOGYAKARTA,2021,10.04,4.56,12.8
DI YOGYAKARTA,2022,10.07,4.06,11.34
DI YOGYAKARTA,2023,10.16,3.69,11.04
DI YOGYAKARTA,2024,10.23,3.48,10.83
DI YOGYAKARTA,2025,10.58,3.46,10.23
DKI JAKARTA,2015,10.9,7.23,3.93
DKI JAKARTA,2016,10.92,6.12,3.75
DKI JAKARTA,2017,10.97,7.14,3.77
DKI JAKARTA,2018,11.06,6.65,3.57
DKI JAKARTA,2019,11.11,6.54,3.47
DKI JAKARTA,2020,11.17,10.95,4.53
DKI JAKARTA,2021,11.2,8.5,4.72
DKI JAKARTA,2022,11.3,7.18,4.69
DKI JAKARTA,2023,11.42,6.53,4.44
DKI JAKARTA,2024,11.49,6.21,4.3
DKI JAKARTA,2025,11.58,6.05,4.28
GORONTALO,2015,7.58,4.65,18.32
GORONTALO,2016,7.71,2.76,17.72
GORONTALO,2017,7.77,4.28,17.65
GORONTALO,2018,7.83,3.7,16.81
GORONTALO,2019,8.11,3.76,15.52
GORONTALO,2020,8.26,4.28,15.22
GORONTALO,2021,8.32,3.01,15.61
GORONTALO,2022,8.39,2.58,15.42
GORONTALO,2023,8.48,3.06,15.15
GORONTALO,2024,8.64,3.13,14.57
GORONTALO,2025,8.78,3.42,13.24
JAMBI,2015,8.43,4.34,8.86
JAMBI,2016,8.55,4.0,8.41
JAMBI,2017,8.61,3.87,8.19
JAMBI,2018,8.7,3.73,7.92
JAMBI,2019,8.86,4.06,7.6
JAMBI,2020,8.97,5.13,7.58
JAMBI,2021,9.03,5.09,8.09
JAMBI,2022,9.07,4.59,7.62
JAMBI,2023,9.16,4.53,7.58
JAMBI,2024,9.26,4.48,7.1
JAMBI,2025,9.32,4.26,7.19
JAWA BARAT,2015,8.31,8.72,9.53
JAWA BARAT,2016,8.41,8.89,8.95
JAWA BARAT,2017,8.46,8.22,8.71
JAWA BARAT,2018,8.61,8.23,7.45
JAWA BARAT,2019,8.79,8.04,6.91
JAWA BARAT,2020,8.96,10.46,7.88
JAWA BARAT,2021,9.03,9.82,8.4
JAWA BARAT,2022,9.14,8.31,8.06
JAWA BARAT,2023,9.16,7.44,7.62
JAWA BARAT,2024,9.24,6.75,7.46
JAWA BARAT,2025,9.46,6.77,7.02
JAWA TENGAH,2015,7.57,4.99,13.58
JAWA TENGAH,2016,7.7,4.63,13.27
JAWA TENGAH,2017,7.77,4.57,13.01
JAWA TENGAH,2018,7.84,4.47,11.32
JAWA TENGAH,2019,8.03,4.44,10.8
JAWA TENGAH,2020,8.19,6.48,11.41
JAWA TENGAH,2021,8.26,5.95,11.79
JAWA TENGAH,2022,8.38,5.57,10.93
JAWA TENGAH,2023,8.44,5.13,10.77
JAWA TENGAH,2024,8.47,4.78,10.47
JAWA TENGAH,2025,8.62,4.66,9.48
JAWA TIMUR,2015,7.71,4.47,12.34
JAWA TIMUR,2016,7.78,4.21,12.05
JAWA TIMUR,2017,7.87,4.0,11.77
JAWA TIMUR,2018,7.93,3.91,10.98
JAWA TIMUR,2019,8.11,3.82,10.37
JAWA TIMUR,2020,8.31,5.84,11.09
JAWA TIMUR,2021,8.37,5.74,11.4
JAWA TIMUR,2022,8.5,5.49,10.38
JAWA TIMUR,2023,8.53,4.88,10.35
JAWA TIMUR,2024,8.69,4.19,9.79
JAWA TIMUR,2025,8.81,3.88,9.5
KALIMANTAN BARAT,2015,7.41,5.15,8.03
KALIMANTAN BARAT,2016,7.49,4.23,7.87
KALIMANTAN BARAT,2017,7.57,4.36,7.88
