Provinsi,Tahun,RLS
ACEH,2015,9.32
ACEH,2016,9.36
ACEH,2017,9.42
ACEH,2018,9.46
ACEH,2019,9.59
ACEH,2020,9.71
ACEH,2021,9.77
ACEH,2022,9.79
ACEH,2023,9.89
ACEH,2024,9.95
ACEH,2025,10.42
BALI,2015,8.8
BALI,2016,8.84
BALI,2017,8.93
BALI,2018,9.0
BALI,2019,9.19
BALI,2020,9.31
BALI,2021,9.45
BALI,2022,9.74
BALI,2023,9.74
BALI,2024,9.87
BALI,2025,10.07
BANTEN,2015,8.7
BANTEN,2016,8.79
BANTEN,2017,8.87
BANTEN,2018,8.93
BANTEN,2019,9.07
BANTEN,2020,9.22
BANTEN,2021,9.29
BANTEN,2022,9.46
BANTEN,2023,9.48
BANTEN,2024,9.55
BANTEN,2025,9.82
BENGKULU,2015,8.74
BENGKULU,2016,8.82
BENGKULU,2017,8.91
BENGKULU,2018,8.94
BENGKULU,2019,9.08
BENGKULU,2020,9.2
BENGKULU,2021,9.26
BENGKULU,2022,9.28
BENGKULU,2023,9.35
BENGKULU,2024,9.4
BENGKULU,2025,9.71
DI YOGYAKARTA,2015,9.59
DI YOGYAKARTA,2016,9.62
DI YOGYAKARTA,2017,9.68
DI YOGYAKARTA,2018,9.73
DI YOGYAKARTA,2019,9.83
DI YOGYAKARTA,2020,9.95
DI YOGYAKARTA,2021,10.04
DI YOGYAKARTA,2022,10.07
DI YOGYAKARTA,2023,10.16
DI YOGYAKARTA,2024,10.23
DI YOGYAKARTA,2025,10.58
DKI JAKARTA,2015,10.9
DKI JAKARTA,2016,10.92
DKI JAKARTA,2017,10.97
DKI JAKARTA,2018,11.06
DKI JAKARTA,2019,11.11
DKI JAKARTA,2020,11.17
DKI JAKARTA,2021,11.2
DKI JAKARTA,2022,11.3
DKI JAKARTA,2023,11.42
DKI JAKARTA,2024,11.49
DKI JAKARTA,2025,11.58
GORONTALO,2015,7.58
GORONTALO,2016,7.71
GORONTALO,2017,7.77
GORONTALO,2018,7.83
GORONTALO,2019,8.11
GORONTALO,2020,8.26
GORONTALO,2021,8.32
GORONTALO,2022,8.39
GORONTALO,2023,8.48
GORONTALO,2024,8.64
GORONTALO,2025,8.78
JAMBI,2015,8.43
JAMBI,2016,8.55
JAMBI,2017,8.61
JAMBI,2018,8.7
JAMBI,2019,8.86
JAMBI,2020,8.97
JAMBI,2021,9.03
JAMBI,2022,9.07
JAMBI,2023,9.16
JAMBI,2024,9.26
JAMBI,2025,9.32
JAWA BARAT,2015,8.31
JAWA BARAT,2016,8.41
JAWA BARAT,2017,8.46
JAWA BARAT,2018,8.61
JAWA BARAT,2019,8.79
JAWA BARAT,2020,8.96
JAWA BARAT,2021,9.03
JAWA BARAT,2022,9.14
JAWA BARAT,2023,9.16
JAWA BARAT,2024,9.24
JAWA BARAT,2025,9.46
JAWA TENGAH,2015,7.57
JAWA TENGAH,2016,7.7
JAWA TENGAH,2017,7.77
JAWA TENGAH,2018,7.84
JAWA TENGAH,2019,8.03
JAWA TENGAH,2020,8.19
JAWA TENGAH,2021,8.26
JAWA TENGAH,2022,8.38
JAWA TENGAH,2023,8.44
JAWA TENGAH,2024,8.47
JAWA TENGAH,2025,8.62
JAWA TIMUR,2015,7.71
JAWA TIMUR,2016,7.78
JAWA TIMUR,2017,7.87
JAWA TIMUR,2018,7.93
JAWA TIMUR,2019,8.11
JAWA TIMUR,2020,8.31
JAWA TIMUR,2021,8.37
JAWA TIMUR,2022,8.5
JAWA TIMUR,2023,8.53
JAWA TIMUR,2024,8.69
JAWA TIMUR,2025,8.81
KALIMANTAN BARAT,2015,7.41
KALIMANTAN BARAT,2016,7.49
KALIMANTAN BARAT,2017,7.57
KALIMANTAN BARAT,2018,7.65
KALIMANTAN BARAT,2019,7.8
KALIMANTAN BARAT,2020,7.9
KALIMANTAN BARAT,2021,8.0
KALIMANTAN BARAT,2022,8.1
KALIMANTAN BARAT,2023,8.17
KALIMANTAN BARAT,2024,8.28
KALIMANTAN BARAT,2025,8.54
KALIMANTAN SELATAN,2015,8.14
KALIMANTAN SELATAN,2016,8.28
KALIMANTAN SELATAN,2017,8.37
KALIMANTAN SELATAN,2018,8.45
KALIMANTAN SELATAN,2019,8.59
KALIMANTAN SELATAN,2020,8.69
KALIMANTAN SELATAN,2021,8.74
KALIMANTAN SELATAN,2022,8.89
KALIMANTAN SELATAN,2023,8.95
