Provinsi,Tahun,TPT_Agustus
ACEH,2015,9.93
ACEH,2016,7.57
ACEH,2017,6.57
ACEH,2018,6.34
ACEH,2019,6.17
ACEH,2020,6.59
ACEH,2021,6.3
ACEH,2022,6.17
ACEH,2023,6.03
ACEH,2024,5.75
ACEH,2025,5.64
BALI,2015,1.99
BALI,2016,1.89
BALI,2017,1.48
BALI,2018,1.4
BALI,2019,1.57
BALI,2020,5.63
BALI,2021,5.37
BALI,2022,4.8
BALI,2023,2.69
BALI,2024,1.79
BALI,2025,1.49
BANTEN,2015,9.55
BANTEN,2016,8.92
BANTEN,2017,9.28
BANTEN,2018,8.47
BANTEN,2019,8.11
BANTEN,2020,10.64
BANTEN,2021,8.98
BANTEN,2022,8.09
BANTEN,2023,7.52
BANTEN,2024,6.68
BANTEN,2025,6.69
BENGKULU,2015,4.91
BENGKULU,2016,3.3
BENGKULU,2017,3.74
BENGKULU,2018,3.35
BENGKULU,2019,3.26
BENGKULU,2020,4.07
BENGKULU,2021,3.65
BENGKULU,2022,3.59
BENGKULU,2023,3.42
BENGKULU,2024,3.11
BENGKULU,2025,3.41
DI YOGYAKARTA,2015,4.07
DI YOGYAKARTA,2016,2.72
DI YOGYAKARTA,2017,3.02
DI YOGYAKARTA,2018,3.37
DI YOGYAKARTA,2019,3.18
DI YOGYAKARTA,2020,4.57
DI YOGYAKARTA,2021,4.56
DI YOGYAKARTA,2022,4.06
DI YOGYAKARTA,2023,3.69
DI YOGYAKARTA,2024,3.48
DI YOGYAKARTA,2025,3.46
DKI JAKARTA,2015,7.23
DKI JAKARTA,2016,6.12
DKI JAKARTA,2017,7.14
DKI JAKARTA,2018,6.65
DKI JAKARTA,2019,6.54
DKI JAKARTA,2020,10.95
DKI JAKARTA,2021,8.5
DKI JAKARTA,2022,7.18
DKI JAKARTA,2023,6.53
DKI JAKARTA,2024,6.21
DKI JAKARTA,2025,6.05
GORONTALO,2015,4.65
GORONTALO,2016,2.76
GORONTALO,2017,4.28
GORONTALO,2018,3.7
GORONTALO,2019,3.76
GORONTALO,2020,4.28
GORONTALO,2021,3.01
GORONTALO,2022,2.58
GORONTALO,2023,3.06
GORONTALO,2024,3.13
GORONTALO,2025,3.42
JAMBI,2015,4.34
JAMBI,2016,4.0
JAMBI,2017,3.87
JAMBI,2018,3.73
JAMBI,2019,4.06
JAMBI,2020,5.13
JAMBI,2021,5.09
JAMBI,2022,4.59
JAMBI,2023,4.53
JAMBI,2024,4.48
JAMBI,2025,4.26
JAWA BARAT,2015,8.72
JAWA BARAT,2016,8.89
JAWA BARAT,2017,8.22
JAWA BARAT,2018,8.23
JAWA BARAT,2019,8.04
JAWA BARAT,2020,10.46
JAWA BARAT,2021,9.82
JAWA BARAT,2022,8.31
JAWA BARAT,2023,7.44
JAWA BARAT,2024,6.75
JAWA BARAT,2025,6.77
JAWA TENGAH,2015,4.99
JAWA TENGAH,2016,4.63
JAWA TENGAH,2017,4.57
JAWA TENGAH,2018,4.47
JAWA TENGAH,2019,4.44
JAWA TENGAH,2020,6.48
JAWA TENGAH,2021,5.95
JAWA TENGAH,2022,5.57
